"Parcel Number",Number,Street,"School District",Township,"Corp / Village","Sale #",Month,Year,"Sale Price",Sqft,Acres,"Yr Built",Story,Basement,Frame,Bedrooms,BasementSqft,"Fin Base",Air,GarageSqft,Type,"Heat Type",Roof,RoofType,Rooms,FullBaths,HalfBaths,Grade,MHRE,NeighCode,PropClass,LandValue,BldgValue,"Property Card"
020004400300," 1071","OLD MCARTHUR",2A,4B,,"  224"," 6",10,"   130000","  960",,1987,1,B,F," 4","  528",F,Y,"  308",A,"HEAT PMP",S,ASP,,2,,C+5,," 294",510,"  21080","  116190",http://www.realestate.co.hocking.oh.us/cards/Crnt/020004400300.pdf
020004640000,13895,"ST RT 664",2A,4B,,"  294"," 7",10,"   246000"," 2647","   132612",1950,1,B,B,,"  826",,Y,"  504",A,GAS,S,ASP," 8",2,1,B-5,,7025,512,"  44290","  204970",http://www.realestate.co.hocking.oh.us/cards/Crnt/020004640000.pdf
020004700201,30060,BLOSSER,2A,4B,,"  243"," 6",10,"   115000",,"    33750",,,,,,,,,,,,,,,,,,,7025,511,"  30760",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020004700201.pdf
020005290000,30470,"LAKE LOGAN",2A,4B,,"    5"," 1",10,"   182700",,"    27581",,,,,,,,,,,,,,,,,,," 261",511,"  10930",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020005290000.pdf
020005580400,13641,LAKEFRONT,2A,4B,,"  166"," 4",10,"   240000","  936","    50000",1986,1,,L,,,,Y,,,CENTRAL,M,," 5",1,,C,," 261",511,"  50250","   77610",http://www.realestate.co.hocking.oh.us/cards/Crnt/020005580400.pdf
020005581400,,STARR,2A,4B,,"  182"," 5",10,"    56633",,"    22370",,,,,,,,,,,,,,,,,,,7025,500,"   4480",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020005581400.pdf
020005590100,29950,"STARR ROUTE",2A,4B,,"  127"," 4",10,"    56633",,"   154737",,,,,,,,,,,,,,,,,,,7025,502,"  67590",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020005590100.pdf
020005590200,29946,"STARR ROUTE",2A,4B,,"  182"," 5",10,"    56633",,"   120000",,,,,,,,,,,,,,,,,,,7025,502,"  61000",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020005590200.pdf
020005770000,13846,"PLEASANT VAL",2A,4B,,"  282"," 7",10,"    90000","  936","    22600",1974,1,B,F,,"  936",F,,"  484",A,CENTRAL,S,ASP," 5",1,,C,,7025,511,"  23520","   89260",http://www.realestate.co.hocking.oh.us/cards/Crnt/020005770000.pdf
020005920500,28780,"STARR ROUTE",2A,4B,,"  268"," 6",10,"   136500","  360","    41860",1988,1,B,F,,"  360",F,Y," 1368",A,"FA GAS",S,ASP," 2",1,,D+10,,7025,511,"  27380","  101980",http://www.realestate.co.hocking.oh.us/cards/Crnt/020005920500.pdf
